facility_id,County,n_inspections,n_investigations,n_enforcement,n_limitations,n_other,n_docs_total,n_civil_fines,n_stop_placement,n_conditions,years_present,latest_year,latest_enforcement_year,fetch_status
OR-F00509,Washington,3,1,0,3,0,6,0,0,0,,,,ok
OR-F00083,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00768,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00240,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00767,Washington,4,0,1,4,0,9,0,0,1,,,,ok
OR-F00228,Washington,5,1,0,3,0,8,0,0,0,,,,ok
OR-F00453,Washington,3,0,0,7,0,10,0,0,0,,,,ok
OR-F00289,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00173,Washington,4,0,0,0,0,4,0,0,0,,,,ok
OR-F00561,Washington,3,0,1,1,0,5,0,0,1,,,,ok
OR-F00553,Washington,4,1,0,9,0,13,0,0,0,,,,ok
OR-F00762,Washington,2,0,0,3,0,5,0,0,0,,,,ok
OR-F00141,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00108,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00710,Washington,3,1,0,1,0,4,0,0,0,,,,ok
OR-F00532,Washington,5,0,1,4,0,10,0,0,1,,,,ok
OR-F00079,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00626,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00429,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00234,Washington,3,0,1,1,0,5,0,0,1,,,,ok
OR-F00615,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00736,Washington,5,0,0,3,0,8,0,0,0,,,,ok
OR-F00698,Washington,5,1,0,3,0,8,0,0,0,,,,ok
OR-F00027,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00442,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00516,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00759,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00400,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00416,Washington,6,4,0,3,0,9,0,0,0,,,,ok
OR-F00621,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00430,Washington,4,0,0,3,0,7,0,0,0,,,,ok
OR-F00444,Washington,4,1,0,4,0,8,0,0,0,,,,ok
OR-F00123,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00470,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00569,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00144,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00090,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00711,Washington,7,2,0,8,0,15,0,0,0,,,,ok
OR-F00619,Washington,11,5,1,13,0,25,0,0,1,,,,ok
OR-F00053,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00748,Washington,3,0,1,1,0,5,0,0,1,,,,ok
OR-F00778,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00716,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00476,Washington,3,0,0,5,0,8,0,0,0,,,,ok
OR-F00139,Washington,5,3,0,7,0,12,0,0,0,,,,ok
OR-F00424,Washington,16,5,0,11,0,27,0,0,0,,,,ok
OR-F00601,Washington,5,2,0,3,0,8,0,0,0,,,,ok
OR-F00541,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00745,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00588,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00093,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00178,Washington,1,0,0,1,0,2,0,0,0,,,,ok
OR-F00257,Washington,7,1,1,9,0,17,0,0,1,,,,ok
OR-F00193,Washington,4,0,0,3,0,7,0,0,0,,,,ok
OR-F00720,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00321,Washington,5,2,1,45,0,51,0,0,1,,,,ok
OR-F00642,Washington,5,2,0,34,0,39,0,0,0,,,,ok
OR-F00577,Washington,3,1,1,48,0,52,0,0,1,,,,ok
OR-F00683,Washington,7,5,4,73,0,84,0,0,4,,,,ok
OR-F00667,Washington,8,5,6,148,0,162,0,0,6,,,,ok
OR-F00575,Washington,2,0,0,41,0,43,0,0,0,,,,ok
OR-F00679,Washington,3,1,0,57,0,60,0,0,0,,,,ok
OR-F00206,Washington,0,0,0,29,0,29,0,0,0,,,,ok
OR-F00195,Washington,0,0,2,63,0,65,0,0,2,,,,ok
OR-F00378,Washington,4,1,0,2,0,6,0,0,0,,,,ok
OR-F00393,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00077,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00584,Washington,3,0,1,2,0,6,0,0,1,,,,ok
OR-F00504,Washington,4,1,0,2,0,6,0,0,0,,,,ok
OR-F00199,Washington,0,0,1,29,0,30,0,0,1,,,,ok
OR-F00455,Washington,4,0,0,7,0,11,0,0,0,,,,ok
OR-F00544,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00112,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00766,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00765,Washington,2,0,0,1,0,3,0,0,0,,,,ok
OR-F00566,Washington,4,0,0,1,0,5,0,0,0,,,,ok
OR-F00625,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00247,Washington,1,0,1,0,0,2,0,0,1,,,,ok
OR-F00643,Washington,5,3,4,42,0,51,0,0,4,,,,ok
OR-F00339,Washington,3,1,1,39,0,43,0,0,1,,,,ok
OR-F00537,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00742,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00296,Washington,7,4,5,95,0,107,0,0,5,,,,ok
OR-F00351,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00629,Washington,2,0,1,14,0,17,0,0,1,,,,ok
OR-F00456,Washington,4,1,0,1,0,5,0,0,0,,,,ok
OR-F00542,Washington,21,13,2,20,0,43,0,0,2,,,,ok
OR-F00522,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00563,Washington,4,0,0,1,0,5,0,0,0,,,,ok
OR-F00278,Washington,5,0,0,0,0,5,0,0,0,,,,ok
OR-F00403,Washington,4,1,0,4,0,8,0,0,0,,,,ok
OR-F00528,Washington,4,1,0,7,0,11,0,0,0,,,,ok
OR-F00184,Washington,6,1,0,3,0,9,0,0,0,,,,ok
OR-F00104,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00757,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00727,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00396,Washington,3,0,0,3,0,6,0,0,0,,,,ok
OR-F00142,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00567,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00572,Washington,3,0,0,73,0,76,0,0,0,,,,ok
OR-F00616,Washington,1,0,0,1,0,2,0,0,0,,,,ok
OR-F00512,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00107,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00140,Washington,5,2,0,4,0,9,0,0,0,,,,ok
OR-F00595,Washington,5,2,0,3,0,8,0,0,0,,,,ok
OR-F00075,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00366,Washington,0,0,0,8,0,8,0,0,0,,,,ok
OR-F00462,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00368,Washington,0,0,0,1,0,1,0,0,0,,,,ok
OR-F00367,Washington,0,0,0,2,0,2,0,0,0,,,,ok
OR-F00464,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00707,Washington,2,0,0,1,0,3,0,0,0,,,,ok
OR-F00658,Washington,12,10,4,63,0,79,0,0,4,,,,ok
OR-F00058,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00232,Washington,2,0,0,2,0,4,0,0,0,,,,ok
OR-F00019,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00109,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00581,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00158,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00558,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00086,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00481,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00076,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00087,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00051,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00273,Washington,3,0,0,6,0,9,0,0,0,,,,ok
OR-F00705,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00073,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00159,Washington,6,1,0,2,0,8,0,0,0,,,,ok
OR-F00404,Washington,3,0,0,3,0,6,0,0,0,,,,ok
OR-F00132,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00067,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00782,Washington,6,1,1,1,0,8,0,0,1,,,,ok
OR-F00691,Washington,1,0,0,2,0,3,0,0,0,,,,ok
OR-F00390,Washington,24,1,6,20,0,50,0,0,6,,,,ok
OR-F00540,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00373,Washington,4,0,0,2,0,6,0,0,0,,,,ok
OR-F00166,Washington,10,2,0,11,0,21,0,0,0,,,,ok
OR-F00310,Washington,4,1,3,34,0,41,0,0,3,,,,ok
OR-F00635,Washington,3,0,1,34,0,38,0,0,1,,,,ok
OR-F00256,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00521,Washington,6,2,1,6,0,13,0,0,1,,,,ok
OR-F00605,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00299,Washington,5,2,4,12,0,21,0,0,4,,,,ok
OR-F00047,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00397,Washington,4,0,0,2,0,6,0,0,0,,,,ok
OR-F00447,Washington,7,2,0,2,0,9,0,0,0,,,,ok
OR-F00095,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00081,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00270,Washington,6,4,0,7,0,13,0,0,0,,,,ok
OR-F00177,Washington,2,0,0,1,0,3,0,0,0,,,,ok
OR-F00771,Washington,2,0,0,0,0,2,0,0,0,,,,ok
OR-F00624,Washington,3,0,0,3,0,6,0,0,0,,,,ok
OR-F00225,Washington,4,1,0,2,0,6,0,0,0,,,,ok
OR-F00265,Washington,3,0,0,7,0,10,0,0,0,,,,ok
OR-F00586,Washington,6,3,0,9,0,15,0,0,0,,,,ok
OR-F00695,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00229,Washington,2,0,0,0,0,2,0,0,0,,,,ok
OR-F00277,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00084,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00267,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00478,Washington,6,0,0,12,0,18,0,0,0,,,,ok
OR-F00741,Washington,4,2,0,1,0,5,0,0,0,,,,ok
OR-F00137,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00749,Washington,4,0,0,2,0,6,0,0,0,,,,ok
OR-F00323,Washington,4,1,0,31,0,35,0,0,0,,,,ok
OR-F00227,Washington,6,2,1,2,0,9,0,0,1,,,,ok
OR-F00293,Washington,3,0,1,48,0,52,0,0,1,,,,ok
OR-F00028,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00417,Washington,2,0,0,3,0,5,0,0,0,,,,ok
OR-F00018,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00146,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00568,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00406,Washington,5,1,1,15,0,21,0,0,1,,,,ok
OR-F00547,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00316,Washington,5,1,0,17,0,22,0,0,0,,,,ok
OR-F00335,Washington,4,1,0,6,0,10,0,0,0,,,,ok
OR-F00326,Washington,4,1,1,8,0,13,0,0,1,,,,ok
OR-F00660,Washington,3,0,1,12,0,16,0,0,1,,,,ok
OR-F00328,Washington,1,0,0,23,0,24,0,0,0,,,,ok
OR-F00197,Washington,0,0,0,77,0,77,0,0,0,,,,ok
OR-F00590,Washington,3,0,0,5,0,8,0,0,0,,,,ok
OR-F00783,Washington,2,1,0,0,0,2,0,0,0,,,,ok
OR-F00435,Washington,3,0,0,3,0,6,0,0,0,,,,ok
OR-F00411,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00266,Washington,2,0,0,1,0,3,0,0,0,,,,ok
OR-F00712,Washington,5,1,19,2,0,26,0,0,19,,,,ok
OR-F00706,Washington,1,0,0,5,0,6,0,0,0,,,,ok
OR-F00211,Washington,2,0,0,0,0,2,0,0,0,,,,ok
OR-F00730,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00543,Washington,2,0,0,0,0,2,0,0,0,,,,ok
OR-F00500,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00597,Washington,3,0,0,3,0,6,0,0,0,,,,ok
OR-F00719,Washington,5,2,0,3,0,8,0,0,0,,,,ok
OR-F00253,Washington,2,1,0,0,0,2,0,0,0,,,,ok
OR-F00099,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00777,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00780,Washington,5,1,0,1,0,6,0,0,0,,,,ok
OR-F00439,Washington,5,1,0,3,0,8,0,0,0,,,,ok
OR-F00786,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00571,Washington,21,20,7,154,0,182,0,0,6,,,,ok
OR-F00115,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00689,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00774,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00781,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00507,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00518,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00743,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00511,Washington,4,1,0,3,0,7,0,0,0,,,,ok
OR-F00728,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00244,Washington,2,0,0,7,0,9,0,0,0,,,,ok
OR-F00082,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00203,Washington,0,0,0,43,0,43,0,0,0,,,,ok
OR-F00186,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00787,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00750,Washington,3,0,0,0,0,3,0,0,0,,,,ok
OR-F00357,Washington,3,1,1,15,0,19,0,0,1,,,,ok
OR-F00714,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00287,Washington,3,0,0,2,0,5,0,0,0,,,,ok
OR-F00285,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00263,Washington,3,0,0,4,0,7,0,0,0,,,,ok
OR-F00248,Washington,4,0,0,2,0,6,0,0,0,,,,ok
OR-F00070,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00505,Washington,3,0,0,3,0,6,0,0,0,,,,ok
OR-F00156,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00587,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00164,Washington,9,0,1,9,0,19,0,0,1,,,,ok
OR-F00608,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00562,Washington,3,0,1,0,0,4,0,0,1,,,,ok
OR-F00238,Washington,8,1,1,2,0,11,0,0,1,,,,ok
OR-F00538,Washington,2,0,2,10,0,14,0,0,2,,,,ok
OR-F00533,Washington,2,0,0,6,0,8,0,0,0,,,,ok
OR-F00534,Washington,7,2,1,13,0,21,0,0,1,,,,ok
OR-F00239,Washington,4,1,0,1,0,5,0,0,0,,,,ok
OR-F00556,Washington,5,1,0,5,0,10,0,0,0,,,,ok
OR-F00633,Washington,2,0,1,15,0,18,0,0,1,,,,ok
OR-F00334,Washington,2,0,1,9,0,12,0,0,1,,,,ok
OR-F00482,Washington,3,0,0,5,0,8,0,0,0,,,,ok
OR-F00760,Washington,7,1,2,8,0,17,0,0,2,,,,ok
OR-F00268,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00168,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00761,Washington,5,1,0,2,0,7,0,0,0,,,,ok
OR-F00549,Washington,5,2,0,8,0,13,0,0,0,,,,ok
OR-F00014,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00483,Washington,4,1,0,6,0,10,0,0,0,,,,ok
OR-F00508,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00560,Washington,5,2,0,9,0,14,0,0,0,,,,ok
OR-F00295,Washington,5,2,3,59,0,67,0,0,3,,,,ok
OR-F00529,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00072,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00756,Washington,6,3,0,5,0,11,0,0,0,,,,ok
OR-F00292,Washington,4,1,0,5,0,9,0,0,0,,,,ok
OR-F00510,Washington,8,5,1,1,0,10,0,0,1,,,,ok
OR-F00039,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00033,Washington,0,0,0,0,0,0,0,0,0,,,,ok
OR-F00258,Washington,11,1,1,10,0,22,0,0,1,,,,ok
OR-F00620,Washington,1,0,0,0,0,1,0,0,0,,,,ok
OR-F00434,Washington,3,0,0,1,0,4,0,0,0,,,,ok
OR-F00454,Washington,5,1,0,1,0,6,0,0,0,,,,ok
